SubwayLocation,Price,SandwichName,TodayDate,Size
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Monterey Chicken Melt,2015-08-14 00:09:40.072000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Monterey Chicken Melt,2015-08-14 00:09:40.072000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Oven Roasted Chicken,2015-08-14 00:09:40.072000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Oven Roasted Chicken,2015-08-14 00:09:40.072000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Oven Roasted Chicken,2015-08-14 00:09:40.072000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Pizza Sub with Cheese,2015-08-14 00:09:40.072000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Pizza Sub with Cheese,2015-08-14 00:09:40.072000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Pizza Sub with Cheese,2015-08-14 00:09:40.072000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Roast Beef,2015-08-14 00:09:40.072000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Roast Beef,2015-08-14 00:09:40.072000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Roast Beef,2015-08-14 00:09:40.072000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$5.50,Spicy Italian,2015-08-14 00:09:40.072000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$4.00,Spicy Italian,2015-08-14 00:09:40.072000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Spicy Italian,2015-08-14 00:09:40.072000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Steak & Cheese,2015-08-14 00:09:40.072000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Steak & Cheese,2015-08-14 00:09:40.072000,6-INCH SUB
